time_point(ms),time(UTC+8),pt(ep)
1767096911000,2025-12-30 20:15:11,128174
1767098704000,2025-12-30 20:45:04,133830
1767100507000,2025-12-30 21:15:07,139370
1767102310000,2025-12-30 21:45:10,146535
1767104102000,2025-12-30 22:15:02,154015
1767105903000,2025-12-30 22:45:03,162960
1767107705000,2025-12-30 23:15:05,171158
1767109508000,2025-12-30 23:45:08,180152
1767111300000,2025-12-31 00:15:00,186555
1767113103000,2025-12-31 00:45:03,193950
1767114906000,2025-12-31 01:15:06,198145
1767116709000,2025-12-31 01:45:09,200582
1767118501000,2025-12-31 02:15:01,203165
1767120303000,2025-12-31 02:45:03,206001
1767122105000,2025-12-31 03:15:05,208493
1767123907000,2025-12-31 03:45:07,209370
1767125709000,2025-12-31 04:15:09,210960
1767127501000,2025-12-31 04:45:01,212182
1767129305000,2025-12-31 05:15:05,213225
1767131107000,2025-12-31 05:45:07,213495
1767132909000,2025-12-31 06:15:09,215290
1767134701000,2025-12-31 06:45:01,217125
1767136505000,2025-12-31 07:15:05,219385
1767138308000,2025-12-31 07:45:08,221025
1767140110000,2025-12-31 08:15:10,225330
1767141902000,2025-12-31 08:45:02,230065
1767143704000,2025-12-31 09:15:04,235640
1767145506000,2025-12-31 09:45:06,239593
1767147310000,2025-12-31 10:15:10,244945
1767149101000,2025-12-31 10:45:01,252093
1767150905000,2025-12-31 11:15:05,258573
1767152707000,2025-12-31 11:45:07,264452
1767154509000,2025-12-31 12:15:09,269115
1767156301000,2025-12-31 12:45:01,274514
1767158104000,2025-12-31 13:15:04,285027
1767159906000,2025-12-31 13:45:06,291260
1767161708000,2025-12-31 14:15:08,296695
1767163500000,2025-12-31 14:45:00,302325
1767165303000,2025-12-31 15:15:03,308320
1767167111000,2025-12-31 15:45:11,314667
1767168905000,2025-12-31 16:15:05,320625
1767170708000,2025-12-31 16:45:08,323264
1767172502000,2025-12-31 17:15:02,326634
1767174306000,2025-12-31 17:45:06,332850
1767176109000,2025-12-31 18:15:09,337960
1767177901000,2025-12-31 18:45:01,342807
1767179707000,2025-12-31 19:15:07,348985
1767181501000,2025-12-31 19:45:01,355687
1767183303000,2025-12-31 20:15:03,361210
