time_point(ms),time(UTC+8),pt(ep)
1737623705000,2025-01-23 17:15:05,76542
1737625509000,2025-01-23 17:45:09,82410
1737627303000,2025-01-23 18:15:03,88435
1737629111000,2025-01-23 18:45:11,94416
1737630912000,2025-01-23 19:15:12,100114
1737632705000,2025-01-23 19:45:05,107467
1737634508000,2025-01-23 20:15:08,113383
1737636307000,2025-01-23 20:45:07,120648
1737638100000,2025-01-23 21:15:00,129700
1737639905000,2025-01-23 21:45:05,137595
1737641709000,2025-01-23 22:15:09,145220
1737643502000,2025-01-23 22:45:02,148430
1737645305000,2025-01-23 23:15:05,154133
1737647109000,2025-01-23 23:45:09,160062
1737648902000,2025-01-24 00:15:02,164156
1737650706000,2025-01-24 00:45:06,168626
1737652509000,2025-01-24 01:15:09,172785
1737654302000,2025-01-24 01:45:02,177431
1737656105000,2025-01-24 02:15:05,179660
1737657910000,2025-01-24 02:45:10,182516
1737659702000,2025-01-24 03:15:02,184804
1737661506000,2025-01-24 03:45:06,186679
1737663310000,2025-01-24 04:15:10,189455
1737665103000,2025-01-24 04:45:03,190940
1737666906000,2025-01-24 05:15:06,191968
1737668710000,2025-01-24 05:45:10,192650
1737670502000,2025-01-24 06:15:02,192720
1737672306000,2025-01-24 06:45:06,193717
1737674109000,2025-01-24 07:15:09,194730
1737675902000,2025-01-24 07:45:02,195625
1737677705000,2025-01-24 08:15:05,197226
1737679509000,2025-01-24 08:45:09,200529
1737681301000,2025-01-24 09:15:01,204314
1737683104000,2025-01-24 09:45:04,208302
1737684908000,2025-01-24 10:15:08,212805
1737686700000,2025-01-24 10:45:00,218640
1737688504000,2025-01-24 11:15:04,222875
1737690307000,2025-01-24 11:45:07,227040
1737692110000,2025-01-24 12:15:10,231590
1737693903000,2025-01-24 12:45:03,236835
1737695708000,2025-01-24 13:15:08,242935
1737697500000,2025-01-24 13:45:00,248238
1737699303000,2025-01-24 14:15:03,253961
1737701105000,2025-01-24 14:45:05,259867
1737702908000,2025-01-24 15:15:08,264665
1737704700000,2025-01-24 15:45:00,270045
1737706504000,2025-01-24 16:15:04,274065
1737708309000,2025-01-24 16:45:09,277482
1737710101000,2025-01-24 17:15:01,282279
1737711906000,2025-01-24 17:45:06,287910
1737713708000,2025-01-24 18:15:08,293068
1737715501000,2025-01-24 18:45:01,297036
1737717304000,2025-01-24 19:15:04,300389
1737719107000,2025-01-24 19:45:07,305654
1737720914000,2025-01-24 20:15:14,310364
1737722707000,2025-01-24 20:45:07,315412
1737724510000,2025-01-24 21:15:10,321655
1737726302000,2025-01-24 21:45:02,326990
1737728105000,2025-01-24 22:15:05,333741
1737729907000,2025-01-24 22:45:07,340690
1737731709000,2025-01-24 23:15:09,346673
1737733502000,2025-01-24 23:45:02,351698
1737735304000,2025-01-25 00:15:04,358549
1737737107000,2025-01-25 00:45:07,361783
1737738909000,2025-01-25 01:15:09,364495
1737740702000,2025-01-25 01:45:02,367740
1737742506000,2025-01-25 02:15:06,370532
1737744309000,2025-01-25 02:45:09,372318
1737746101000,2025-01-25 03:15:01,375130
1737747906000,2025-01-25 03:45:06,377350
1737749709000,2025-01-25 04:15:09,377975
1737751502000,2025-01-25 04:45:02,378532
1737753304000,2025-01-25 05:15:04,378749
1737755107000,2025-01-25 05:45:07,378749
1737756910000,2025-01-25 06:15:10,379670
1737758727000,2025-01-25 06:45:27,381450
1737760505000,2025-01-25 07:15:05,382515
1737762308000,2025-01-25 07:45:08,382655
1737764101000,2025-01-25 08:15:01,384126
