time_point(ms),time(UTC+8),pt(ep)
1713748500000,2024-04-22 09:15:00,505719
1713750300000,2024-04-22 09:45:00,507998
1713752100000,2024-04-22 10:15:00,511003
1713753900000,2024-04-22 10:45:00,512833
1713755700000,2024-04-22 11:15:00,515921
1713757500000,2024-04-22 11:45:00,518140
1713759300000,2024-04-22 12:15:00,520095
1713761100000,2024-04-22 12:45:00,525300
1713762900000,2024-04-22 13:15:00,531231
1713764700000,2024-04-22 13:45:00,533780
1713766500000,2024-04-22 14:15:00,537104
1713768301000,2024-04-22 14:45:01,539372
1713770100000,2024-04-22 15:15:00,542150
1713771900000,2024-04-22 15:45:00,545240
1713773700000,2024-04-22 16:15:00,548087
1713775500000,2024-04-22 16:45:00,550924
1713777301000,2024-04-22 17:15:01,553627
1713779100000,2024-04-22 17:45:00,558680
1713780900000,2024-04-22 18:15:00,560610
1713782700000,2024-04-22 18:45:00,564672
1713784500000,2024-04-22 19:15:00,571315
1713786300000,2024-04-22 19:45:00,573971
1713788101000,2024-04-22 20:15:01,576342
1713789900000,2024-04-22 20:45:00,580240
1713791700000,2024-04-22 21:15:00,584791
1713793500000,2024-04-22 21:45:00,591927
1713795300000,2024-04-22 22:15:00,594567
1713797100000,2024-04-22 22:45:00,599941
1713798900000,2024-04-22 23:15:00,607331
1713800700000,2024-04-22 23:45:00,611666
1713802500000,2024-04-23 00:15:00,616893
1713804300000,2024-04-23 00:45:00,622155
1713806100000,2024-04-23 01:15:00,625563
1713807900000,2024-04-23 01:45:00,627191
1713809700000,2024-04-23 02:15:00,630396
1713811500000,2024-04-23 02:45:00,630962
1713813300000,2024-04-23 03:15:00,631775
1713815100000,2024-04-23 03:45:00,633216
1713816900000,2024-04-23 04:15:00,633780
1713818700000,2024-04-23 04:45:00,633940
1713820500000,2024-04-23 05:15:00,634151
1713822300000,2024-04-23 05:45:00,634224
1713824100000,2024-04-23 06:15:00,634528
1713825900000,2024-04-23 06:45:00,635804
1713827700000,2024-04-23 07:15:00,636380
1713829500000,2024-04-23 07:45:00,637837
1713831300000,2024-04-23 08:15:00,641985
1713833100000,2024-04-23 08:45:00,643409
1713834900000,2024-04-23 09:15:00,648147
1713836701000,2024-04-23 09:45:01,650224
1713838500000,2024-04-23 10:15:00,651180
1713840300000,2024-04-23 10:45:00,654117
1713842100000,2024-04-23 11:15:00,659997
1713843900000,2024-04-23 11:45:00,662005
1713845700000,2024-04-23 12:15:00,664218
1713847500000,2024-04-23 12:45:00,666461
1713849300000,2024-04-23 13:15:00,671855
1713851100000,2024-04-23 13:45:00,676211
1713852903000,2024-04-23 14:15:03,678178
1713854700000,2024-04-23 14:45:00,681707
1713856500000,2024-04-23 15:15:00,685825
1713858300000,2024-04-23 15:45:00,688486
1713860100000,2024-04-23 16:15:00,690395
1713861900000,2024-04-23 16:45:00,692630
1713863700000,2024-04-23 17:15:00,695825
1713865500000,2024-04-23 17:45:00,699315
1713867300000,2024-04-23 18:15:00,703658
1713869100000,2024-04-23 18:45:00,708438
1713870900000,2024-04-23 19:15:00,712420
1713872700000,2024-04-23 19:45:00,714710
1713874500000,2024-04-23 20:15:00,720277
1713876300000,2024-04-23 20:45:00,725254
1713878100000,2024-04-23 21:15:00,727914
1713879900000,2024-04-23 21:45:00,733080
1713881700000,2024-04-23 22:15:00,737517
1713883500000,2024-04-23 22:45:00,741021
1713885300000,2024-04-23 23:15:00,745738
1713887100000,2024-04-23 23:45:00,753695
1713888900000,2024-04-24 00:15:00,760601
1713890700000,2024-04-24 00:45:00,766329
1713892500000,2024-04-24 01:15:00,769669
1713894300000,2024-04-24 01:45:00,770674
1713899710000,2024-04-24 03:15:10,776736
1713901510000,2024-04-24 03:45:10,777143
1713903300000,2024-04-24 04:15:00,777648
1713905100000,2024-04-24 04:45:00,777648
1713906900000,2024-04-24 05:15:00,778670
1713908700000,2024-04-24 05:45:00,779436
1713910500000,2024-04-24 06:15:00,780024
1713912300000,2024-04-24 06:45:00,780358
1713914100000,2024-04-24 07:15:00,781447
1713915900000,2024-04-24 07:45:00,784758
1713917700000,2024-04-24 08:15:00,789308
1713919500000,2024-04-24 08:45:00,791550
1713921301000,2024-04-24 09:15:01,794068
1713923102000,2024-04-24 09:45:02,795704
1713924900000,2024-04-24 10:15:00,799060
1713926700000,2024-04-24 10:45:00,801925
1713928500000,2024-04-24 11:15:00,802920
1713930300000,2024-04-24 11:45:00,805077
1713932100000,2024-04-24 12:15:00,809525
1713933900000,2024-04-24 12:45:00,816565
1713935700000,2024-04-24 13:15:00,820467
1713937500000,2024-04-24 13:45:00,823319
1713939300000,2024-04-24 14:15:00,826100
1713941100000,2024-04-24 14:45:00,828300
1713942900000,2024-04-24 15:15:00,831011
1713944700000,2024-04-24 15:45:00,832245
1713946500000,2024-04-24 16:15:00,835780
1713948300000,2024-04-24 16:45:00,838951
1713950100000,2024-04-24 17:15:00,841975
1713951900000,2024-04-24 17:45:00,844319
1713953700000,2024-04-24 18:15:00,848962
1713955500000,2024-04-24 18:45:00,851902
1713957300000,2024-04-24 19:15:00,859356
1713959101000,2024-04-24 19:45:01,860945
1713960900000,2024-04-24 20:15:00,863493
1713962700000,2024-04-24 20:45:00,869633
1713964500000,2024-04-24 21:15:00,871815
1713966300000,2024-04-24 21:45:00,877082
